type,latitude,longitude,altitude (m),course,slope (%),distance (km),distance_interval (m),name,desc
T,36.167291000,-86.781093000,140.8,133.3,2.0,4.856,11.35,,
T,36.167246000,-86.781028000,140.7,130.6,-0.5,4.863,7.69,,
T,36.167202000,-86.780949000,140.6,124.6,-1.3,4.872,8.62,,
T,36.167131000,-86.780808000,140.8,122.0,1.3,4.887,14.93,,
T,36.167075000,-86.780671000,140.9,116.9,1.0,4.901,13.80,,
T,36.167062000,-86.780639000,141.0,116.7,1.4,4.904,3.22,,
T,36.167014000,-86.780483000,141.2,110.9,1.4,4.919,15.01,,
T,36.167007000,-86.780438000,141.2,100.9,1.3,4.923,4.12,,
T,36.166988000,-86.780311000,141.4,100.5,1.5,4.935,11.62,,
T,36.166974000,-86.780171000,141.6,97.1,1.4,4.948,12.69,,
T,36.166982000,-86.780023000,141.8,86.2,1.7,4.961,13.35,,
T,36.166988000,-86.779976000,141.9,81.0,1.7,4.965,4.28,,
T,36.167014000,-86.779851000,142.1,75.6,1.5,4.977,11.61,,
T,36.167073000,-86.779677000,142.4,67.2,1.8,4.994,16.97,,
T,36.167125000,-86.779563000,142.7,60.5,2.9,5.005,11.77,,
T,36.167176000,-86.779441000,143.4,62.6,5.4,5.018,12.35,,
T,36.167482000,-86.778747000,145.8,61.4,3.4,5.089,71.08,,
T,36.167544000,-86.778605000,146.1,61.6,1.8,5.103,14.51,,
T,36.167599000,-86.778478000,146.2,61.8,1.2,5.116,12.95,,
T,36.167773000,-86.778080000,146.4,61.6,0.4,5.157,40.68,,
T,36.167856000,-86.777902000,146.5,60.0,0.6,5.176,18.47,,
T,36.167977000,-86.777665000,145.3,57.7,-4.7,5.201,25.20,,
T,36.168026000,-86.777639000,144.4,23.2,-15.1,5.207,5.92,,
T,36.168080000,-86.777525000,142.0,59.6,-20.3,5.219,11.88,,
T,36.168789000,-86.775908000,119.4,61.5,-13.7,5.384,165.39,,
T,36.168789000,-86.775908000,119.4,61.5,,5.384,0.00,,
T,36.169089000,-86.775222000,126.2,61.6,9.7,5.454,70.12,,
T,36.170083000,-86.772929000,127.3,61.8,0.5,5.688,233.94,,
T,36.170457000,-86.772002000,128.0,63.4,0.8,5.781,93.16,,
T,36.170741000,-86.771088000,130.1,68.9,2.4,5.869,88.06,,
T,36.170861000,-86.770719000,129.4,68.1,-2.1,5.905,35.77,,
T,36.170959000,-86.770427000,129.5,67.4,0.3,5.933,28.43,,
T,36.171252000,-86.769570000,129.9,67.0,0.5,6.017,83.68,,
