type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,37.066796000,-88.825420000,136.6,,269.5,-1.3,23.937,140.52,,,
T,37.066784000,-88.828039000,138.0,,269.7,0.6,24.169,232.92,,,
T,37.066766000,-88.830422000,137.1,,269.5,-0.5,24.381,211.94,,,
T,37.066766000,-88.830431000,137.1,,270.0,3.0,24.382,0.80,,,
T,37.066763000,-88.831859000,138.0,,269.8,0.7,24.509,127.00,,,
T,37.066770000,-88.832289000,137.6,,271.2,-1.0,24.547,38.25,,,
T,37.066785000,-88.832670000,137.2,,272.8,-1.2,24.581,33.92,,,
T,37.066844000,-88.833552000,136.8,,274.8,-0.5,24.660,78.71,,,
T,37.066880000,-88.833964000,136.4,,276.2,-0.9,24.697,36.86,,,
T,37.066933000,-88.834479000,135.8,,277.3,-1.4,24.743,46.18,,,
T,37.066965000,-88.834706000,135.5,,280.0,-1.3,24.764,20.50,,,
T,37.067084000,-88.835507000,135.6,,280.5,0.2,24.836,72.45,,,
T,37.067190000,-88.836108000,135.3,,282.5,-0.6,24.891,54.73,,,
