type,latitude,longitude,course,distance (km),distance_interval (m),name,desc
T,36.177418000,-86.771256000,330.9,7.308,45.75,,
T,36.177889000,-86.771583000,330.7,7.368,59.97,,
T,36.178297000,-86.772092000,314.8,7.433,64.39,,
T,36.178379000,-86.772219000,308.7,7.447,14.61,,
T,36.178657000,-86.772646000,308.9,7.497,49.27,,
T,36.178772000,-86.772785000,315.7,7.514,17.87,,
T,36.178997000,-86.773011000,321.0,7.547,32.20,,
T,36.179302000,-86.773213000,331.9,7.585,38.41,,
T,36.179651000,-86.773350000,342.4,7.626,40.64,,
T,36.180911000,-86.773572000,351.9,7.767,141.23,,
T,36.181258000,-86.773627000,352.7,7.806,38.82,,
T,36.181562000,-86.773674000,352.9,7.840,34.00,,
T,36.182424000,-86.773805000,353.0,7.936,96.37,,
T,36.182753000,-86.773833000,356.1,7.973,36.59,,
T,36.183141000,-86.773866000,356.1,8.016,43.16,,
T,36.183190000,-86.773878000,348.8,8.021,5.54,,
T,36.183244000,-86.773871000,6.0,8.027,6.02,,
T,36.183368000,-86.773854000,6.3,8.041,13.84,,
T,36.183575000,-86.773833000,4.7,8.064,23.05,,
T,36.183709000,-86.773818000,5.2,8.079,14.93,,
T,36.183936000,-86.773792000,5.3,8.105,25.30,,
T,36.183978000,-86.773787000,5.5,8.109,4.68,,
T,36.184419000,-86.773729000,6.1,8.158,49.21,,
T,36.184598000,-86.773705000,6.2,8.178,19.98,,
T,36.184853000,-86.773679000,4.7,8.207,28.39,,
T,36.184915000,-86.773671000,5.9,8.214,6.92,,
T,36.185079000,-86.773651000,5.6,8.232,18.29,,
T,36.185587000,-86.773589000,5.6,8.289,56.64,,
T,36.186177000,-86.773516000,5.7,8.355,65.80,,
T,36.186613000,-86.773462000,5.7,8.403,48.62,,
T,36.186842000,-86.773434000,5.6,8.429,25.53,,
T,36.186979000,-86.773417000,5.7,8.444,15.28,,
T,36.187449000,-86.773359000,5.7,8.496,52.41,,
T,36.188804000,-86.773152000,7.0,8.648,151.50,,
T,36.189544000,-86.773029000,7.6,8.731,82.85,,
T,36.189734000,-86.772997000,7.7,8.752,21.28,,
T,36.190093000,-86.772937000,7.7,8.792,40.20,,
T,36.190115000,-86.772934000,6.3,8.795,2.46,,
T,36.191290000,-86.772789000,5.7,8.926,131.03,,
T,36.191764000,-86.772731000,5.6,8.979,52.85,,
T,36.191934000,-86.772711000,5.4,8.997,18.95,,
T,36.193050000,-86.772606000,4.3,9.122,124.19,,
T,36.194302000,-86.772366000,8.8,9.262,140.59,,
T,36.194410000,-86.772345000,8.9,9.274,12.13,,
T,36.194501000,-86.772326000,9.6,9.285,10.24,,
T,36.194795000,-86.772265000,9.5,9.318,33.08,,
T,36.194949000,-86.772234000,9.2,9.335,17.31,,
T,36.195231000,-86.772175000,9.6,9.367,31.74,,
