type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,40.279859000,-96.746636000,386.0,,178.0,-0.7,18.179,62.22,,,
T,40.279017000,-96.746609000,385.3,,178.6,-0.8,18.273,93.52,,,
T,40.278579000,-96.746609000,385.6,,180.0,0.6,18.321,48.64,,,
T,40.278233000,-96.746610000,385.9,,180.1,0.8,18.360,38.42,,,
T,40.277989000,-96.746610000,386.2,,180.0,1.1,18.387,27.09,,,
T,40.277800000,-96.746612000,386.7,,180.5,2.1,18.408,20.99,,,
T,40.277545000,-96.746615000,387.4,,180.5,2.8,18.436,28.32,,,
T,40.277311000,-96.746618000,388.3,,180.6,3.2,18.462,25.98,,,
T,40.276944000,-96.746620000,390.3,,180.2,4.9,18.503,40.75,,,
T,40.275896000,-96.746624000,393.1,,180.2,2.4,18.619,116.37,,,
T,40.274867000,-96.746634000,393.9,,180.4,0.7,18.733,114.26,,,
T,40.274470000,-96.746639000,394.1,,180.6,0.4,18.778,44.08,,,
T,40.273814000,-96.746644000,395.4,,180.3,1.9,18.850,72.84,,,
T,40.272766000,-96.746652000,396.0,,180.3,0.5,18.967,116.37,,,
T,40.272254000,-96.746650000,395.9,,179.8,-0.3,19.024,56.85,,,
T,40.272224000,-96.746650000,395.9,,180.0,-0.1,19.027,3.33,,,
T,40.271707000,-96.746655000,395.4,,180.4,-0.7,19.084,57.41,,,
T,40.270651000,-96.746668000,394.8,,180.5,-0.5,19.202,117.26,,,
T,40.270436000,-96.746669000,394.7,,180.2,-0.7,19.225,23.87,,,
T,40.270321000,-96.746678000,394.6,,183.4,-0.9,19.238,12.79,,,
T,40.270150000,-96.746703000,394.4,,186.4,-1.0,19.257,19.11,,,
T,40.269995000,-96.746723000,394.1,,185.6,-1.2,19.275,17.30,1,,
T,40.269995000,-96.746723000,394.1,,185.6,,19.275,0.00,,,
T,40.269868000,-96.746740000,394.0,,185.8,-1.2,19.289,14.18,,,
T,40.269741000,-96.746747000,393.9,,182.4,-0.8,19.303,14.11,,,
T,40.269568000,-96.746751000,393.7,,181.0,-0.8,19.322,19.21,,,
T,40.269062000,-96.746750000,393.0,,179.9,-1.4,19.378,56.19,,,
T,40.268993000,-96.746749000,392.9,,179.4,-1.3,19.386,7.66,,,
T,40.268925000,-96.746750000,392.8,,180.6,-1.0,19.394,7.55,,,
T,40.268506000,-96.746753000,392.4,,180.3,-0.9,19.440,46.53,,,
T,40.268467000,-96.746753000,392.3,,180.0,-0.8,19.444,4.33,,,
T,40.268243000,-96.746754000,392.1,,180.2,-0.9,19.469,24.87,,,
T,40.268089000,-96.746755000,391.9,,180.3,-1.1,19.486,17.10,,,
T,40.268016000,-96.746756000,391.8,,180.6,-1.2,19.495,8.11,,,
T,40.267954000,-96.746756000,391.8,,180.0,-1.2,19.501,6.88,,,
T,40.267883000,-96.746757000,391.7,,180.6,-1.1,19.509,7.88,,,
T,40.267594000,-96.746758000,391.3,,180.2,-1.0,19.541,32.09,,,
T,40.267535000,-96.746758000,391.3,,180.0,-1.0,19.548,6.55,,,
T,40.267429000,-96.746759000,391.1,,180.4,-1.0,19.560,11.77,,,
T,40.267283000,-96.746760000,391.0,,180.3,-1.0,19.576,16.21,,,
T,40.267222000,-96.746760000,390.9,,180.0,-1.0,19.583,6.77,,,
T,40.267003000,-96.746759000,390.7,,179.8,-1.0,19.607,24.32,,,
T,40.266903000,-96.746759000,390.6,,180.0,-0.9,19.618,11.10,,,
T,40.266815000,-96.746760000,390.5,,180.5,-0.9,19.628,9.77,,,
T,40.266391000,-96.746762000,389.9,,180.2,-1.3,19.675,47.08,,,
T,40.265866000,-96.746764000,389.0,,180.2,-1.5,19.733,58.30,,,
T,40.265335000,-96.746761000,388.2,,179.8,-1.3,19.792,58.96,,,
T,40.264819000,-96.746758000,387.4,,179.7,-1.4,19.850,57.30,,,
T,40.264298000,-96.746761000,386.6,,180.3,-1.4,19.907,57.85,,,
T,40.263764000,-96.746765000,385.6,,180.3,-1.6,19.967,59.30,,,
T,40.263251000,-96.746770000,385.3,,180.4,-0.7,20.024,56.96,,,
T,40.262794000,-96.746764000,385.1,,179.4,-0.3,20.074,50.75,,,
T,40.262005000,-96.746758000,384.9,,179.7,-0.3,20.162,87.61,,,
T,40.261927000,-96.746758000,384.9,,180.0,0.1,20.171,8.66,,,
