type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	40.698458000	-99.145941000	2221.3		273.9	-2.4	46.057	172.87								
T	40.698539000	-99.146693000	2216.9		278.1	-2.1	46.097	210.60								
T	40.698604000	-99.147045000	2215.3		283.7	-1.6	46.116	100.44								
T	40.698718000	-99.147620000	2210.1		284.7	-3.2	46.147	164.76								
T	40.698864000	-99.148247000	2208.7		287.1	-0.8	46.182	181.81								
T	40.699254000	-99.150094000	2218.2		285.6	1.8	46.283	531.49								
T	40.699367000	-99.150932000	2231.5		280.1	5.6	46.327	235.98								
T	40.699432000	-99.151648000	2240.6		276.8	4.6	46.365	199.94								
T	40.699457000	-99.156815000	2224.8		270.4	-1.1	46.637	1432.76								
T	40.699449000	-99.161188000	2213.7		269.9	-0.9	46.866	1212.57								
T	40.699461000	-99.166098000	2211.5		270.2	-0.2	47.124	1361.47								
T	40.699454000	-99.170865000	2217.9		269.9	0.5	47.374	1321.82								
T	40.699463000	-99.175609000	2224.0		270.1	0.5	47.623	1315.44								
T	40.699551000	-99.198428000	2230.0		270.3	0.1	48.822	6327.42								
T	40.699542000	-99.199443000	2235.2		269.3	1.9	48.875	281.46								
T	40.699562000	-99.202708000	2231.9		270.5	-0.4	49.047	905.36								
T	40.699579000	-99.210330000	2213.6		270.2	-0.9	49.447	2113.46								
T	40.699654000	-99.227284000	2225.1		270.3	0.2	50.337	4701.14								
T	40.699639000	-99.233108000	2220.9		269.8	-0.3	50.643	1614.91								
T	40.699663000	-99.234315000	2220.1		271.5	-0.2	50.707	334.80								
T	40.699696000	-99.235005000	2215.2		273.6	-2.5	50.743	191.70								
T	40.699739000	-99.235574000	2220.7		275.7	3.5	50.773	158.55								
T	40.699837000	-99.236247000	2216.2		280.9	-2.4	50.809	190.00								
T	40.699994000	-99.237706000	2211.4		278.1	-1.2	50.886	408.58								
T	40.700947000	-99.245161000	2221.7		279.6	0.5	51.283	2096.08								
T	40.701868000	-99.252097000	2230.6		279.9	0.5	51.653	1952.24								
T	40.702230000	-99.254982000	2230.9		279.4	0.0	51.807	810.73								
T	40.703273000	-99.263460000	2241.5		279.2	0.4	52.258	2381.21								
T	40.703627000	-99.266126000	2227.5		279.9	-1.9	52.400	750.36								
T	40.705156000	-99.278102000	2235.8		279.6	0.2	53.037	3366.91								
T	40.705492000	-99.280834000	2227.7		279.2	-1.1	53.183	767.30								
T	40.706904000	-99.291792000	2241.9		279.7	0.5	53.766	3081.42								
T	40.707105000	-99.293279000	2237.5		280.1	-1.0	53.846	418.73								
T	40.707358000	-99.295378000	2237.1		279.0	-0.1	53.957	589.21								
T	40.707845000	-99.299063000	2237.5		279.9	0.0	54.154	1036.96								
T	40.714425000	-99.350410000	2266.1		279.6	0.2	56.888	14435.67								
T	40.715732000	-99.360570000	2270.3		279.6	0.1	57.429	2856.52								
T	40.717263000	-99.372217000	2274.2		279.8	0.1	58.049	3276.53								
T	40.717572000	-99.374677000	2280.2		279.4	0.9	58.180	691.17								
T	40.717752000	-99.376015000	2274.3		280.1	-1.5	58.251	376.66								
T	40.718325000	-99.378893000	2264.0		284.7	-1.3	58.408	824.66								
T	40.718633000	-99.381148000	2273.5		280.2	1.5	58.528	635.09								
T	40.718950000	-99.383591000	2265.9		279.7	-1.1	58.658	686.99								
T	40.719087000	-99.384747000	2270.6		278.9	1.5	58.719	324.31								
T	40.719636000	-99.389018000	2277.1		279.6	0.5	58.947	1200.71								
T	40.719804000	-99.390443000	2287.1		278.8	2.5	59.022	399.72								
T	40.720316000	-99.396226000	2270.5		276.7	-1.0	59.328	1613.86								
T	40.720379000	-99.396826000	2277.2		277.9	4.0	59.360	167.89								
T	40.724161000	-99.426438000	2276.4		279.6	-0.0	60.936	8322.99								
T	40.724743000	-99.431089000	2290.0		279.4	1.0	61.184	1306.49								
T	40.726638000	-99.445811000	2287.0		279.6	-0.1	61.968	4138.57								
T	40.732705000	-99.493361000	2312.1		279.6	0.2	64.498	13362.98								
T	40.732876000	-99.494897000	2308.5		278.4	-0.8	64.580	430.23								
T	40.732947000	-99.495351000	2312.7		281.7	3.2	64.604	128.46								
T	40.733862000	-99.502469000	2312.0		279.6	-0.0	64.983	2000.68								
T	40.734270000	-99.505643000	2326.5		279.6	1.6	65.152	892.12								
T	40.736301000	-99.521618000	2318.1		279.5	-0.2	66.002	4488.65								
T	40.736620000	-99.524014000	2322.5		280.0	0.7	66.130	674.10								
T	40.737451000	-99.528959000	2318.7		282.5	-0.3	66.396	1403.45								
T	40.737686000	-99.530415000	2321.8		282.0	0.7	66.474	412.48								
T	40.737846000	-99.531561000	2319.2		280.4	-0.8	66.535	322.89								
T	40.738434000	-99.536389000	2332.7		279.1	1.0	66.792	1355.00								
T	40.738649000	-99.537738000	2330.2		281.9	-0.6	66.864	381.96								
T	40.739014000	-99.540838000	2329.4		278.8	-0.1	67.029	869.31								
T	40.739119000	-99.541875000	2326.9		277.6	-0.8	67.083	289.91								
T	40.739203000	-99.543101000	2329.8		275.2	0.8	67.148	341.12								
T	40.739267000	-99.544637000	2328.9		273.1	-0.2	67.229	426.29								
T	40.739323000	-99.545379000	2332.7		275.7	1.8	67.268	206.63								
T	40.739375000	-99.545876000	2330.2		277.9	-1.8	67.294	139.02								
T	40.739603000	-99.547756000	2325.8		279.1	-0.8	67.394	527.56								
T	40.739927000	-99.550204000	2328.8		279.9	0.4	67.525	688.58								
T	40.740668000	-99.556010000	2331.4		279.6	0.2	67.834	1631.42								
T	40.741134000	-99.559794000	2332.9		279.2	0.1	68.035	1062.25								
T	40.743557000	-99.578761000	2338.1		279.6	0.1	69.044	5329.49								
T	40.743719000	-99.580096000	2342.5		279.1	1.2	69.115	374.61								
T	40.743998000	-99.582240000	2342.7		279.7	0.0	69.229	602.74								
T	40.744166000	-99.583651000	2339.2		278.9	-0.9	69.304	395.75								
T	40.744360000	-99.585083000	2347.5		280.1	2.0	69.381	403.05								
T	40.744414000	-99.585625000	2346.2		277.5	-0.9	69.409	151.47								
T	40.744612000	-99.587144000	2344.4		279.8	-0.4	69.490	427.05								
T	40.745331000	-99.592904000	2342.5		279.4	-0.1	69.796	1617.42								
T	40.745888000	-99.597445000	2351.7		279.2	0.7	70.038	1274.54								
T	40.747367000	-99.609063000	2352.8		279.5	0.0	70.656	3264.00								
T	40.747606000	-99.610691000	2361.6		281.0	1.9	70.743	459.42								
T	40.747942000	-99.612518000	2352.2		283.6	-1.8	70.842	520.82								
T	40.748546000	-99.615240000	2357.8		286.3	0.7	70.990	785.66								
T	40.748702000	-99.616014000	2357.9		284.9	0.0	71.032	221.86								
T	40.748894000	-99.616806000	2364.0		287.7	2.6	71.076	230.33								
T	40.749552000	-99.619806000	2360.4		286.1	-0.4	71.240	865.11								
T	40.749834000	-99.621145000	2352.5		285.5	-2.1	71.313	384.97								
T	40.750750000	-99.625219000	2363.2		286.5	0.9	71.536	1177.10								
T	40.751801000	-99.630069000	2355.6		286.0	-0.5	71.800	1397.28								
