Time (s),Velocity [m/s],Drag Force [N],S.O.C
1464.1732882068197,24.3081152303199,147.72111651262756,0.9136146749634584
1464.264440380099,24.307034631260098,147.70798314131943,0.9136100095790297
1464.355592553378,24.306056238673662,147.69609246939171,0.9136053441929457
1464.4467447266572,24.305180388645514,147.68544843114964,0.9136006788051945
1464.7355598330923,24.303077148798888,147.65988972511767,0.9135858965414622
1465.0,24.30204112942862,147.64730076411007,0.9135723618320695
1465.000354434429,24.302041099105317,147.647300395651,0.913572343615983
1465.000708868858,24.30204107024337,147.64730004494888,0.9135723253998965
1465.001063303287,24.30204104287356,147.6472997123778,0.9135723071838099
1465.0025288791796,24.302040944433227,147.64729851622724,0.9135722318608298
1465.0039944550722,24.302040871008273,147.64729762403914,0.9135721565378493
1465.0054600309647,24.30204082301409,147.64729704086082,0.9135720812148683
1465.0069256068573,24.3020408005963,147.64729676846179,0.913572005891887
1465.0101144320822,24.302040840194323,147.6472972496182,0.9135718420028477
1465.0133032573071,24.30204100107112,147.64729920443546,0.9135716781138061
1465.016492082532,24.302041283173626,147.6473026322688,0.9135715142247626
1465.019680907757,24.302041686433277,147.6473075322852,0.9135713503357169
1465.022869732982,24.302042210821835,147.64731390414155,0.9135711864466691
1465.0260772745994,24.302042860477286,147.64732179811875,0.9135710215956941
1465.029284816217,24.302043632669964,147.64733118104868,0.9135708567447169
1465.0324923578344,24.302044527384925,147.6473420527499,0.9135706918937377
1465.0356998994519,24.30204554460453,147.6473544130082,0.9135705270427565
1465.0389074410693,24.302046684311087,147.64736826160888,0.9135703621917731
1465.0437757080072,24.302048648102296,147.64739212368266,0.9135701119881281
1465.048643974945,24.302050893954448,147.64741941308804,0.9135698617844784
1465.0535122418828,24.30205342180881,147.64745012911234,0.9135696115808238
1465.0583805088206,24.302056330741344,147.64748547563136,0.9135693613771645
1465.0632487757584,24.302061120678307,147.64754367829605,0.9135691111735004
1465.0715757713604,24.302076136150482,147.6477261318137,0.9135686832091158
1465.0799027669623,24.302101243923623,147.64803121747852,0.9135682552447172
1465.0882297625642,24.3021364318859,147.64845878849897,0.9135678272803048
1465.0965567581661,24.3021813117361,147.64900412712382,0.9135673993158783
1465.104883753768,24.302235724703028,147.64966530475803,0.9135669713514379
1465.1311370465883,24.302470136580435,147.65251368484599,0.913565622068087
1465.1573903394085,24.302799955702593,147.65652142172448,0.9135642727845976
1465.1836436322287,24.303225171328453,147.66168843207322,0.9135629235009697
1465.209896925049,24.303745695031665,147.66801370219255,0.9135615742172032
1465.339712192256,24.307714911018977,147.71625104884356,0.913554902380367
1465.469527459463,24.31399882603621,147.79263472812258,0.9135482305401447
1465.59934272667,24.322585625975293,147.897042883225,0.9135415586965362
1465.7291579938772,24.333463283088232,148.02935883735077,0.9135348868495414
1466.0,24.363484727810295,148.39484702056137,0.9135209669318093
1466.0085002916799,24.364451337275053,148.40662224161102,0.9135205432583774
1466.0170005833597,24.36542742447581,148.4185133943495,0.9135201195849313
