unix_timestamp,speed_mps,temperature,relative_humidity,surface_pressure
1713131866512.0,12.113983521728509,24,0.374,972.8
1713131866563.0,12.113983521728509,24,0.374,972.8
1713131866614.0,12.113983521728509,24,0.374,972.8
1713131866664.0,12.113983521728509,24,0.374,972.8
1713131866714.0,12.113983521728509,24,0.374,972.8
1713131866765.0,12.113983521728509,24,0.374,972.8
1713131866815.0,12.113983521728509,24,0.374,972.8
1713131866865.0,12.113983521728509,24,0.374,972.8
1713131866916.0,11.681340704956074,24,0.374,972.8
1713131866967.0,11.681340704956074,24,0.374,972.8
1713131867021.0,11.681340704956074,24,0.374,972.8
1713131867072.0,11.681340704956074,24,0.374,972.8
1713131867122.0,11.681340704956074,24,0.374,972.8
1713131867173.0,11.681340704956074,24,0.374,972.8
1713131867224.0,11.681340704956074,24,0.374,972.8
1713131867274.0,11.681340704956074,24,0.374,972.8
1713131867324.0,11.681340704956074,24,0.374,972.8
1713131867376.0,11.681340704956074,24,0.374,972.8
1713131867425.0,11.557728715209977,24,0.374,972.8
1713131867476.0,11.557728715209977,24,0.374,972.8
1713131867526.0,11.557728715209977,24,0.374,972.8
1713131867577.0,11.557728715209977,24,0.374,972.8
1713131867630.0,11.557728715209977,24,0.374,972.8
1713131867678.0,11.557728715209977,24,0.374,972.8
1713131867729.0,11.557728715209977,24,0.374,972.8
1713131867784.0,11.557728715209977,24,0.374,972.8
1713131867835.0,11.557728715209977,24,0.374,972.8
1713131867882.0,11.557728715209977,24,0.374,972.8
1713131867946.0,11.557728715209977,24,0.374,972.8
1713131867982.0,11.557728715209977,24,0.374,972.8
1713131868035.0,11.557728715209977,24,0.374,972.8
1713131868088.0,11.557728715209977,24,0.374,972.8
1713131868138.0,11.557728715209977,24,0.374,972.8
1713131868210.0,11.557728715209977,24,0.374,972.8
1713131868254.0,11.557728715209977,24,0.374,972.8
1713131868303.0,11.557728715209977,24,0.374,972.8
1713131868341.0,11.557728715209977,24,0.374,972.8
1713131868392.0,11.557728715209977,24,0.374,972.8
1713131868435.0,11.557728715209977,24,0.374,972.8
1713131868487.0,11.557728715209977,24,0.374,972.8
1713131868542.0,11.557728715209977,24,0.374,972.8
1713131868590.0,11.557728715209977,24,0.374,972.8
1713131868640.0,11.557728715209977,24,0.374,972.8
1713131868688.0,11.557728715209977,24,0.374,972.8
1713131868747.0,11.557728715209977,24,0.374,972.8
1713131868794.0,11.557728715209977,24,0.374,972.8
1713131868840.0,11.557728715209977,24,0.374,972.8
1713131868890.0,11.557728715209977,24,0.374,972.8
1713131868946.0,11.557728715209977,24,0.374,972.8
1713131869008.0,11.557728715209977,24,0.374,972.8
1713131869090.0,11.557728715209977,24,0.374,972.8
1713131869112.0,11.557728715209977,24,0.374,972.8
1713131869196.0,11.557728715209977,24,0.374,972.8
1713131869197.0,11.557728715209977,24,0.374,972.8
1713131869314.0,11.557728715209977,24,0.374,972.8
1713131869316.0,11.557728715209977,24,0.374,972.8
1713131869408.0,11.557728715209977,24,0.374,972.8
1713131869411.0,11.557728715209977,24,0.374,972.8
1713131869473.0,11.557728715209977,24,0.374,972.8
1713131869506.0,11.557728715209977,24,0.374,972.8
1713131869547.0,11.557728715209977,24,0.374,972.8
1713131869597.0,11.557728715209977,24,0.374,972.8
1713131869647.0,11.557728715209977,24,0.374,972.8
1713131869698.0,11.557728715209977,24,0.374,972.8
1713131869748.0,11.557728715209977,24,0.374,972.8
1713131869799.0,11.557728715209977,24,0.374,972.8
1713131869849.0,11.557728715209977,24,0.374,972.8
1713131869900.0,11.557728715209977,24,0.374,972.8
1713131869954.0,11.557728715209977,24,0.374,972.8
1713131870001.0,11.557728715209977,24,0.374,972.8
1713131870051.0,11.557728715209977,24,0.374,972.8
1713131870102.0,11.557728715209977,24,0.374,972.8
1713131870152.0,11.557728715209977,24,0.374,972.8
1713131870203.0,11.557728715209977,24,0.374,972.8
1713131870253.0,11.557728715209977,24,0.374,972.8
1713131870304.0,11.557728715209977,24,0.374,972.8
1713131870354.0,11.557728715209977,24,0.374,972.8
1713131870405.0,11.557728715209977,24,0.374,972.8
1713131870456.0,11.557728715209977,24,0.374,972.8
1713131870510.0,11.557728715209977,24,0.374,972.8
1713131870557.0,10.97057091125489,24,0.374,972.8
1713131870608.0,10.97057091125489,24,0.374,972.8
1713131870658.0,10.97057091125489,24,0.374,972.8
1713131870708.0,10.97057091125489,24,0.374,972.8
1713131870760.0,10.97057091125489,24,0.374,972.8
1713131870809.0,10.97057091125489,24,0.374,972.8
1713131870860.0,10.97057091125489,24,0.374,972.8
1713131870910.0,10.97057091125489,24,0.374,972.8
1713131870961.0,10.97057091125489,24,0.374,972.8
1713131871011.0,10.97057091125489,24,0.374,972.8
1713131871062.0,10.97057091125489,24,0.374,972.8
1713131871112.0,10.97057091125489,24,0.374,972.8
1713131871163.0,10.97057091125489,24,0.374,972.8
