Reynolds_Number,Drag_Coefficient
1629777.452,0.767520607
1629777.452,0.767520607
1629777.452,0.767520607
1629777.452,0.767520607
1629777.452,0.767520607
1629777.452,0.767520607
1629777.452,0.767520607
1629777.452,0.767520607
1629777.452,0.767520607
1649064.746,0.754918203
1649064.746,0.754918203
1649064.746,0.754918203
1649064.746,0.754918203
1649064.746,0.754918203
1649064.746,0.754918203
1649064.746,0.754918203
1649064.746,0.754918203
1649064.746,0.754918203
1649064.746,0.754918203
1649064.746,0.754918203
1649064.746,0.754918203
1649064.746,0.754918203
1649064.746,0.754918203
1649064.746,0.754918203
1649064.746,0.754918203
1649064.746,0.754918203
1649064.746,0.754918203
1649064.746,0.754918203
1649064.746,0.754918203
1649064.746,0.754918203
1649064.746,0.754918203
1649064.746,0.754918203
1649064.746,0.754918203
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1688410.631,0.723631697
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1697548.812,0.718252601
1707085.597,0.712774639
1707085.597,0.712774639
1707085.597,0.712774639
1707085.597,0.712774639
1707085.597,0.712774639
1716622.382,0.707387338
1716622.382,0.707387338
1716622.382,0.707387338
1716622.382,0.707387338
1716622.382,0.707387338
1716622.382,0.707387338
1716622.382,0.707387338
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1717214.928,0.707118892
1745237.808,0.698158821
1745237.808,0.698158821
1745237.808,0.698158821
1745237.808,0.698158821
1745237.808,0.698158821
1745237.808,0.698158821
1745237.808,0.698158821
1745237.808,0.698158821
1745237.808,0.698158821
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1745501.219,0.698021744
1755144.866,0.692840029
1755144.866,0.692840029
1755144.866,0.692840029
1755144.866,0.692840029
1755144.866,0.692840029
1755144.866,0.692840029
1755144.866,0.692840029
1755144.866,0.692840029
1755144.866,0.692840029
1755144.866,0.692840029
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
1764788.513,0.687742665
